id;time;chatid;set_user_list
1;2021-04-17T02:30:56;Streamlined Innovative Cambridgeshire;云南省 Factors enable
2;2021-04-16T09:34:42;1080p;attitude-oriented protocol olive
3;2021-04-16T17:24:59;桥 路 state;Business-focused Customer
4;2021-04-17T00:27:01;cross-platform Chips;loyalty Avon leverage
5;2021-04-16T17:38:43;路 International;Computer
6;2021-04-16T15:54:52;Integration invoice;mobile
7;2021-04-16T08:23:09;Analyst Cambridgeshire revolutionize;Corporate
8;2021-04-16T12:29:19;街;Creative object-oriented
9;2021-04-16T18:51:03;Avon;enhance Assimilated
10;2021-04-16T09:10:36;Gloves Practical;Research redundant Plastic
